#Sample	enterotype
SRR15885257	3
SRR15885258	2
SRR15885259	1
SRR15885260	1
SRR15885261	2
SRR15885262	1
SRR15885263	2
SRR15885264	1
SRR15885265	3
SRR15885266	1
SRR15885267	1
SRR15885268	1
SRR15885269	3
SRR15885270	1
SRR15885271	2
SRR15885272	1
SRR15885273	3
SRR15885274	1
SRR15885275	1
SRR15885276	1
SRR15885277	2
SRR15885278	1
SRR15885279	1
SRR15885280	3
SRR15885281	3
SRR15885282	1
SRR15885283	1
SRR15885284	1
SRR15885285	1
SRR15885286	3
SRR15885287	3
SRR15885288	3
SRR15885289	3
SRR15885290	1
SRR15885291	3
SRR15885292	3
SRR15885293	3
SRR15885294	1
SRR15885295	1
SRR15885296	3
SRR15885297	3
SRR15885298	1
SRR15885299	3
SRR15885300	1
SRR15885301	3
SRR15885302	1
SRR15885303	3
SRR15885304	3
SRR15885305	1
SRR15885306	3
SRR15885307	3
SRR15885308	3
SRR15885309	2
SRR15885310	1
SRR15885311	1
SRR15885312	1
SRR15885313	2
SRR15885314	1
SRR15885315	3
SRR15885316	1
SRR15885317	2
SRR15885318	2
SRR15885319	1
SRR15885320	1
SRR15885321	2
SRR15885322	1
SRR15885323	1
SRR15885324	3
SRR15885325	3
SRR15885326	1
SRR15885327	3
SRR15885328	1
SRR15885329	1
SRR15885330	1
SRR15885331	2
SRR15885332	1
SRR15885333	1
SRR15885334	2
SRR15885335	2
SRR15885336	2
SRR15885337	1
SRR15885338	1
SRR15885339	1
SRR15885340	1
SRR15885341	1
SRR15885342	1
SRR15885343	1
SRR15885344	3
SRR15885345	1
SRR15885346	2
SRR15885347	2
SRR15885348	1
SRR15885349	1
SRR15885350	1
SRR15885351	2
SRR15885352	2
SRR15885353	1
SRR15885354	1
SRR15885355	2
SRR15885356	1
SRR15885357	1
SRR15885358	1
SRR15885359	1
SRR15885361	1
SRR15885362	2
SRR15885363	1
SRR15885364	1
SRR15885365	1
SRR15885366	2
SRR15885367	1
SRR15885368	3
SRR15885369	1
SRR15885370	1
SRR15885371	3
SRR15885372	2
SRR15885373	3
SRR15885374	1
SRR15885375	3
SRR15885376	1
SRR15885377	2
SRR15885378	1
SRR15885379	2
SRR15885380	1
SRR15885381	3
SRR15885382	3
SRR15885383	1
SRR15885384	2
SRR15885385	1
SRR15885386	3
SRR15885387	2
SRR15885388	1
SRR15885389	1
SRR15885390	1
SRR15885391	3
SRR15885392	2
SRR15885393	1
SRR15885394	3
SRR15885395	3
SRR15885396	1
SRR15885397	3
SRR15885398	1
SRR15885399	1
SRR15885400	1
SRR15885401	1
SRR15885402	1
SRR15885403	3
SRR15885404	1
SRR15885406	3
SRR15885407	3
SRR15885408	3
SRR15885409	3
SRR15885410	2
SRR15885411	3
