	fb_ratio
SRR15885257	5.388148148148148
SRR15885258	1.031222123104371
SRR15885259	0.8875555555555554
SRR15885260	3.3094496365524404
SRR15885261	3.103024574669187
SRR15885262	1.37984496124031
SRR15885263	2.607871720116618
SRR15885264	3.1645714285714286
SRR15885265	9.537142857142856
SRR15885266	9.446428571428571
SRR15885267	7.652849740932642
SRR15885268	6.485294117647059
SRR15885269	17.970833333333335
SRR15885270	5.819237147595357
SRR15885271	1.429381443298969
SRR15885272	1.2278067885117492
SRR15885273	17.18146718146718
SRR15885274	60.173913043478265
SRR15885275	2.0721311475409836
SRR15885276	2.435693641618497
SRR15885277	1.7265005662514157
SRR15885278	3.696755994358251
SRR15885279	3.5749730312837102
SRR15885280	2.459798994974874
SRR15885281	4.592411260709914
SRR15885282	2.109498680738786
SRR15885283	2.0425925925925927
SRR15885284	0.038552152495180986
SRR15885285	0.8299960738123283
SRR15885286	0.004065040650406504
SRR15885287	2.1349557522123894
SRR15885288	2.527299925205684
SRR15885289	0.6484410302756439
SRR15885290	0.32718219097832457
SRR15885291	7.8601583113456455
SRR15885292	4.156626506024097
SRR15885293	2.924376508447305
SRR15885294	1.2659465020576133
SRR15885295	0.5259695290858726
SRR15885296	0.6630160067396799
SRR15885297	1.636574074074074
SRR15885298	3.2735930735930734
SRR15885299	1.5475040257648953
SRR15885300	1.3158953722334004
SRR15885301	5.0227272727272725
SRR15885302	12.750716332378223
SRR15885303	1.9829867674858221
SRR15885304	3.6740331491712706
SRR15885305	0.6843243243243243
SRR15885306	0.47317226231565734
SRR15885307	0.7425213675213677
SRR15885308	2.95859872611465
SRR15885309	1.5760693015701137
SRR15885310	2.128876636802205
SRR15885311	2.017763157894737
SRR15885312	16.915254237288135
SRR15885313	2.973821989528796
SRR15885314	8.62363238512035
SRR15885315	0.48645778013807756
SRR15885316	1.385846153846154
SRR15885317	2.760921366163622
SRR15885318	3.1486013986013988
SRR15885319	1.6958333333333333
SRR15885320	3.6789168278529982
SRR15885321	5.294827586206897
SRR15885322	5.491749174917492
SRR15885323	2.399366085578447
SRR15885324	3.3036480686695278
SRR15885325	25.155172413793103
SRR15885326	1.7095100864553312
SRR15885327	4.62514827995255
SRR15885328	4.185028248587571
SRR15885329	1.762962962962963
SRR15885330	0.6435688405797102
SRR15885331	2.8306709265175716
SRR15885332	2.9293172690763054
SRR15885333	16.548736462093864
SRR15885334	2.640440597954367
SRR15885335	8.973568281938325
SRR15885336	1.551538046411225
SRR15885337	6.910411622276028
SRR15885338	4.521396396396396
SRR15885339	2.5358045492839087
SRR15885340	2.1378430121250798
SRR15885341	8.160671462829736
SRR15885342	5.5810055865921795
SRR15885343	7.968390804597702
SRR15885344	6.271739130434783
SRR15885345	0.6214355948869223
SRR15885346	2.0112956810631233
SRR15885347	4.65406976744186
SRR15885348	1.4932398597896848
SRR15885349	2.756931608133087
SRR15885350	3.3840230991337825
SRR15885351	0.9759963768115942
SRR15885352	4.576036866359447
SRR15885353	2.289758534554538
SRR15885354	17.103846153846153
SRR15885355	3.0311284046692606
SRR15885356	17.56862745098039
SRR15885357	5.845360824742268
SRR15885358	34.603053435114504
SRR15885359	5.877167630057804
SRR15885361	0.4353684210526316
SRR15885362	1.9335384615384614
SRR15885363	3.010878661087866
SRR15885364	0.4714394516374714
SRR15885365	4.894230769230769
SRR15885366	0.9967923015236567
SRR15885367	2.1784232365145226
SRR15885368	5.89718309859155
SRR15885369	3.2765757290686732
SRR15885370	1.223613595706619
SRR15885371	13.638629283489099
SRR15885372	4.75453446191052
SRR15885373	4.1753554502369665
SRR15885374	1.9793061472915399
SRR15885375	1.3315758640890452
SRR15885376	1.6221979223619465
SRR15885377	3.818093385214008
SRR15885378	7.88447653429603
SRR15885379	3.0928093645484953
SRR15885380	0.5256776034236805
SRR15885381	2.5287878787878784
SRR15885382	0.5608414239482201
SRR15885383	3.9601259181532007
SRR15885384	1.8957433682911784
SRR15885385	1.1942604856512142
SRR15885386	3.659942363112392
SRR15885387	3.652764306498545
SRR15885388	0.45249266862170084
SRR15885389	0.19863514501584206
SRR15885390	2.3183673469387753
SRR15885391	21.84375
SRR15885392	2.3764285714285713
SRR15885393	3.7771084337349397
SRR15885394	3.2036874451273047
SRR15885395	175.72
SRR15885396	1.0482529118136439
SRR15885397	49.011111111111106
SRR15885398	2.0507936507936506
SRR15885399	2.7754467754467753
SRR15885400	92.37735849056604
SRR15885401	0.42857142857142855
SRR15885402	0.9067898754519887
SRR15885403	3.476777251184834
SRR15885404	0.6734623358673116
SRR15885406	1.2083609820836099
SRR15885407	0.3370656370656371
SRR15885408	5.035971223021582
SRR15885409	2.003705991352687
SRR15885410	1.1357340720221607
SRR15885411	2.024531024531025
