ID	observed_otus
SRR15885257	467
SRR15885258	644
SRR15885259	398
SRR15885260	900
SRR15885261	984
SRR15885262	502
SRR15885263	366
SRR15885264	684
SRR15885265	505
SRR15885266	665
SRR15885267	541
SRR15885268	943
SRR15885269	308
SRR15885270	757
SRR15885271	849
SRR15885272	556
SRR15885273	314
SRR15885274	636
SRR15885275	438
SRR15885276	744
SRR15885277	1025
SRR15885278	645
SRR15885279	793
SRR15885280	520
SRR15885281	657
SRR15885282	575
SRR15885283	546
SRR15885284	314
SRR15885285	443
SRR15885286	164
SRR15885287	753
SRR15885288	704
SRR15885289	507
SRR15885290	545
SRR15885291	581
SRR15885292	264
SRR15885293	583
SRR15885294	641
SRR15885295	434
SRR15885296	538
SRR15885297	673
SRR15885298	492
SRR15885299	746
SRR15885300	580
SRR15885301	851
SRR15885302	528
SRR15885303	547
SRR15885304	593
SRR15885305	724
SRR15885306	423
SRR15885307	632
SRR15885308	695
SRR15885309	573
SRR15885310	429
SRR15885311	831
SRR15885312	788
SRR15885313	759
SRR15885314	788
SRR15885315	521
SRR15885316	552
SRR15885317	1005
SRR15885318	594
SRR15885319	637
SRR15885320	593
SRR15885321	523
SRR15885322	422
SRR15885323	465
SRR15885324	556
SRR15885325	258
SRR15885326	425
SRR15885327	740
SRR15885328	409
SRR15885329	990
SRR15885330	701
SRR15885331	722
SRR15885332	662
SRR15885333	382
SRR15885334	796
SRR15885335	525
SRR15885336	950
SRR15885337	728
SRR15885338	484
SRR15885339	911
SRR15885340	816
SRR15885341	1040
SRR15885342	681
SRR15885343	203
SRR15885344	327
SRR15885345	617
SRR15885346	877
SRR15885347	816
SRR15885348	493
SRR15885349	876
SRR15885350	801
SRR15885351	845
SRR15885352	484
SRR15885353	302
SRR15885354	864
SRR15885355	530
SRR15885356	606
SRR15885357	764
SRR15885358	562
SRR15885359	802
SRR15885361	465
SRR15885362	898
SRR15885363	658
SRR15885364	318
SRR15885365	359
SRR15885366	657
SRR15885367	705
SRR15885368	317
SRR15885369	436
SRR15885370	480
SRR15885371	657
SRR15885372	515
SRR15885373	265
SRR15885374	436
SRR15885375	712
SRR15885376	611
SRR15885377	648
SRR15885378	444
SRR15885379	567
SRR15885380	427
SRR15885381	444
SRR15885382	586
SRR15885383	685
SRR15885384	600
SRR15885385	445
SRR15885386	661
SRR15885387	666
SRR15885388	652
SRR15885389	392
SRR15885390	731
SRR15885391	665
SRR15885392	866
SRR15885393	587
SRR15885394	591
SRR15885395	219
SRR15885396	396
SRR15885397	290
SRR15885398	826
SRR15885399	482
SRR15885400	553
SRR15885401	307
SRR15885402	228
SRR15885403	675
SRR15885404	699
SRR15885406	869
SRR15885407	673
SRR15885408	575
SRR15885409	754
SRR15885410	684
SRR15885411	504
