,Group,class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,balanced_subsample,12,log2,2,2,35,1234,0.9737704918032787,0.9746835443037974,0.9746835443037974,0.9737363299750279,0.9746835443037974,0.9746835443037974
0,selected_features,balanced_subsample,12,log2,2,2,35,1234,0.8473282442748091,0.9230769230769231,0.8,0.8553571428571428,0.8571428571428571,0.8219178082191783
0,selected_features,balanced_subsample,12,log2,2,2,35,1234,0.7575757575757576,0.9532710280373832,0.7034482758620689,0.8045543266102798,0.8095238095238095,0.7423580786026202
