,Group,leaf_size,metric,n_neighbors,weights,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,3,minkowski,16,uniform,0.7270642201834863,0.7638888888888888,0.7081545064377682,0.728461489672086,0.734966592427617,0.7186411149825783
0,selected_features,3,minkowski,16,uniform,0.7022900763358778,0.7571428571428571,0.7066666666666667,0.701547619047619,0.7310344827586207,0.7162162162162162
0,selected_features,3,minkowski,16,uniform,0.5555555555555556,0.8904109589041096,0.4482758620689655,0.6486662329212752,0.5963302752293578,0.49770290964777947
