,Group,C,gamma,kernel,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,10,1,rbf,1234,0.8830275229357798,0.85546875,0.9399141630901288,0.878824076618956,0.8957055214723926,0.9217171717171718
0,selected_features,10,1,rbf,1234,0.8778625954198473,0.8641975308641975,0.9333333333333333,0.868452380952381,0.8974358974358974,0.9186351706036746
0,selected_features,10,1,rbf,1234,0.6717171717171717,0.7898550724637681,0.7517241379310344,0.6022771633051399,0.7703180212014133,0.7590529247910863
