,Group,leaf_size,metric,n_neighbors,p,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,5,minkowski,16,1,0.7010309278350515,0.7028985507246377,0.6783216783216783,0.7006473256473257,0.6903914590747331,0.6830985915492958
0,all_features,5,minkowski,16,1,0.6261682242990654,0.48,0.3076923076923077,0.5582579185520362,0.37500000000000006,0.33149171270718236
