,Group,C,gamma,kernel,max_iter,probability,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,0.01,0.001,linear,200,True,1234,0.7628865979381443,0.8032786885245902,0.6853146853146853,0.7615762615762616,0.739622641509434,0.7060518731988472
0,all_features,0.01,0.001,linear,200,True,1234,0.5514018691588785,0.4117647058823529,0.5384615384615384,0.5486425339366515,0.4666666666666667,0.5072463768115941
