,Group,gamma,learning_rate,max_depth,min_child_weight,n_estimators,random_state,reg_alpha,reg_lambda,subsample,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,0.2,0.1,2,7,25,1234,5,7,0.5,0.7731958762886598,0.8130081300813008,0.6993006993006993,0.771947646947647,0.7518796992481204,0.7194244604316546
0,all_features,0.2,0.1,2,7,25,1234,5,7,0.5,0.5514018691588785,0.3902439024390244,0.41025641025641024,0.5213046757164403,0.4,0.40609137055837563
