,Group,class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,balanced_subsample,5,sqrt,3,10,26,1234,0.9553264604810997,0.9513888888888888,0.958041958041958,0.9553723303723304,0.9547038327526133,0.9567039106145251
0,all_features,balanced_subsample,5,sqrt,3,10,26,1234,0.9545454545454546,0.9210526315789473,0.9722222222222222,0.9572649572649573,0.9459459459459458,0.9615384615384615
0,all_features,balanced_subsample,5,sqrt,3,10,26,1234,0.38317757009345793,0.36893203883495146,0.9743589743589743,0.5092383107088989,0.5352112676056339,0.7335907335907337
