,Group,gamma,learning_rate,max_depth,max_leaves,min_child_weight,n_estimators,random_state,sample_pos_weight,subsample,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,0.0,0.01,4,4,5,5,1234,1.15,0.5,0.8033012379642366,0.8376811594202899,0.7686170212765957,0.8045364308662181,0.8016643550624132,0.7815035154137371
0,all_features,0.0,0.01,4,4,5,5,1234,1.15,0.5,0.7899543378995434,0.8113207547169812,0.7678571428571429,0.7904706275033377,0.7889908256880735,0.7761732851985558
0,all_features,0.0,0.01,4,4,5,5,1234,1.15,0.5,0.6524590163934426,0.90625,0.47282608695652173,0.6992229608336328,0.6214285714285714,0.5228365384615385
