,Group,leaf_size,metric,n_neighbors,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,2,minkowski,170,0.6519944979367263,0.7338403041825095,0.5132978723404256,0.656933836455113,0.6040688575899844,0.5461233729485003
0,all_features,2,minkowski,170,0.4885844748858447,0.0,0.0,0.5,0.0,0.0
0,all_features,2,minkowski,170,0.39672131147540984,0.0,0.0,0.5,0.0,0.0
