,Group,C,gamma,kernel,max_iter,probability,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,0.1,0.1,linear,250,True,1234,0.7647867950481431,0.7104722792607803,0.9202127659574468,0.7592516821240225,0.8018539976825029,0.8689100954294324
0,all_features,0.1,0.1,linear,250,True,1234,0.5672131147540984,0.7241379310344828,0.45652173913043476,0.5960294646065397,0.5599999999999999,0.49295774647887325
