,classifier,roc_auc,accuracy,precision,recall,f1,f2
0,RF,81.07,79.29,93.33,77.24,84.53,80.0
0,SVM,63.51,57.07,85.71,49.66,62.88,54.22
0,KNN,68.15,62.12,88.89,55.17,68.09,59.7
0,XGB,81.22,74.24,97.96,66.21,79.01,70.8
