,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,FN,FP,TN,TP,accuracy,f1,f2,precision,recall
10,KNN,young,selected,medium,57.98,48.62,67.33,15,31,24,37,57.01,51.06,56.87,43.64,61.54
11,KNN,young,selected,high,51.19,41.72,60.66,18,35,21,33,50.47,44.21,49.53,37.5,53.85
12,KNN,young,all,no transformation,46.21,36.76,55.66,15,47,24,21,42.06,43.64,52.86,33.8,61.54
13,KNN,young,all,low,55.18,45.76,64.61,8,47,31,21,48.6,52.99,66.24,39.74,79.49
14,KNN,young,all,medium,51.89,42.42,61.35,10,48,29,20,45.79,50.0,62.23,37.66,74.36
15,KNN,young,all,high,54.45,45.01,63.89,8,48,31,20,47.66,52.54,65.96,39.24,79.49
16,KNN,all,selected,no transformation,61.28,55.81,66.75,106,24,78,97,57.38,54.55,46.54,76.47,42.39
17,KNN,all,selected,low,74.03,69.11,78.95,53,28,131,93,73.44,76.38,73.18,82.39,71.2
18,KNN,all,selected,medium,73.37,68.4,78.33,60,25,124,96,72.13,74.47,70.06,83.22,67.39
19,KNN,all,selected,high,73.08,68.1,78.06,58,27,126,94,72.13,74.78,70.87,82.35,68.48
20,KNN,all,all,no transformation,53.74,48.14,59.33,152,12,32,109,46.23,28.07,20.51,72.73,17.39
21,KNN,all,all,low,73.25,68.28,78.21,65,22,119,99,71.48,73.23,67.84,84.4,64.67
22,KNN,all,all,medium,74.9,70.03,79.77,65,18,119,103,72.79,74.14,68.16,86.86,64.67
23,KNN,all,all,high,75.32,70.48,80.16,68,15,116,106,72.79,73.65,66.9,88.55,63.04
0,XGB,old,selected,no transformation,81.22,75.78,86.66,49,2,96,51,74.24,79.01,70.8,97.96,66.21
1,XGB,old,selected,low,79.77,74.17,85.36,45,5,100,48,74.75,80.0,72.99,95.24,68.97
2,XGB,old,selected,medium,77.53,71.72,83.35,46,7,99,46,73.23,78.88,72.16,93.4,68.28
3,XGB,old,selected,high,80.46,74.93,85.98,43,5,102,48,75.76,80.95,74.24,95.33,70.34
4,XGB,old,all,no transformation,72.62,66.4,78.83,63,6,82,47,65.15,70.39,61.38,93.18,56.55
5,XGB,old,all,low,73.58,67.44,79.72,52,9,93,44,69.19,75.3,68.18,91.18,64.14
6,XGB,old,all,medium,73.65,67.51,79.79,60,6,85,47,66.67,72.03,63.34,93.41,58.62
