,classifier,roc_auc,accuracy,precision,recall,f1,f2
16,RF,77.85,77.38,85.28,75.54,80.12,77.31
16,SVM,63.58,60.33,77.88,47.83,59.26,51.83
16,KNN,61.28,57.38,76.47,42.39,54.55,46.54
16,XGB,68.6,70.82,74.11,79.35,76.64,78.24
