,classifier,samples,features,Feature Abundance Limits,roc_auc,CI lower,CI upper,accuracy,precision,recall,f1,f2,TP,TN,FP,FN
0,KNN,old,selected,no transformation,0.6606376057254392,0.5946842375242445,0.7265909739266339,0.5555555555555556,0.9130434782608695,0.43448275862068964,0.5887850467289719,0.48536209553158705,47,63,6,82
0,KNN,old,selected,low,0.7321405335068315,0.6704562958620282,0.7938247711516349,0.6515151515151515,0.9418604651162791,0.5586206896551724,0.7012987012987013,0.6081081081081081,48,81,5,64
0,KNN,old,selected,medium,0.7553675992192583,0.6954906532410644,0.8152445451974523,0.6767676767676768,0.9550561797752809,0.5862068965517241,0.7264957264957265,0.6352765321375187,49,85,4,60
0,KNN,old,selected,high,0.7450227716330514,0.6843129512731416,0.8057325919929612,0.6616161616161617,0.9534883720930233,0.5655172413793104,0.70995670995671,0.6156156156156156,49,82,4,63
0,KNN,old,all,no transformation,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,KNN,old,all,low,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,KNN,old,all,medium,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,KNN,old,all,high,0.5,0.4303544326571672,0.5696455673428328,0.7323232323232324,0.7323232323232324,1.0,0.8454810495626823,0.9318766066838046,0,145,53,0
0,KNN,young,selected,no transformation,0.5192307692307692,0.4245606933330758,0.6139008451284625,0.514018691588785,0.38181818181818183,0.5384615384615384,0.44680851063829785,0.4976303317535545,34,21,34,18
0,KNN,young,selected,low,0.5411010558069382,0.4466815109895217,0.6355206006243548,0.514018691588785,0.3968253968253968,0.6410256410256411,0.49019607843137253,0.5707762557077626,30,25,38,14
0,KNN,young,selected,medium,0.4805806938159879,0.38591199968792667,0.5752493879440491,0.45794392523364486,0.3492063492063492,0.5641025641025641,0.4313725490196078,0.502283105022831,27,22,41,17
0,KNN,young,selected,high,0.5135746606334841,0.41886940695521957,0.6082799143117487,0.48598130841121495,0.375,0.6153846153846154,0.46601941747572817,0.5454545454545455,28,24,40,15
0,KNN,young,all,no transformation,0.44645550527903466,0.35226013844722215,0.5406508721108472,0.5327102803738317,0.23809523809523808,0.1282051282051282,0.16666666666666666,0.14124293785310735,52,5,16,34
0,KNN,young,all,low,0.49660633484162897,0.40186834117852804,0.59134432850473,0.40186915887850466,0.3626373626373626,0.8461538461538461,0.5076923076923077,0.6680161943319839,10,33,58,6
0,KNN,young,all,medium,0.45814479638009054,0.3637371467000326,0.5525524460601484,0.37383177570093457,0.3409090909090909,0.7692307692307693,0.47244094488188976,0.6147540983606556,10,30,58,9
0,KNN,young,all,high,0.4636123680241327,0.369123408474092,0.5581013275741734,0.37383177570093457,0.34444444444444444,0.7948717948717948,0.4806201550387597,0.6300813008130082,9,31,59,8
0,KNN,all,selected,no transformation,0.5098589651455264,0.4537552380381809,0.5659626922528719,0.43934426229508194,0.6326530612244898,0.16847826086956522,0.26609442060085836,0.19745222929936304,103,31,18,153
0,KNN,all,selected,low,0.670701581027668,0.6179584825512174,0.7234446795041185,0.659016393442623,0.773972602739726,0.6141304347826086,0.6848484848484848,0.6405895691609977,88,113,33,71
0,KNN,all,selected,medium,0.6417759611929572,0.5879644439193814,0.695587478466533,0.6360655737704918,0.738562091503268,0.6141304347826086,0.6706231454005934,0.6355455568053994,81,113,40,71
0,KNN,all,selected,high,0.65100610851599,0.5975117977603868,0.7045004192715931,0.6557377049180327,0.7337278106508875,0.6739130434782609,0.7025495750708214,0.6850828729281768,76,124,45,60
0,KNN,all,all,no transformation,0.5693720804886813,0.5138001700377415,0.624943990939621,0.5606557377049181,0.6736111111111112,0.5271739130434783,0.5914634146341464,0.5511363636363636,74,97,47,87
0,KNN,all,all,low,0.49728260869565216,0.44116880066415387,0.5533964167271505,0.6,0.6019736842105263,0.9945652173913043,0.7499999999999999,0.8798076923076923,0,183,121,1
0,KNN,all,all,medium,0.5056593604024434,0.4495483182744118,0.561770402530475,0.6032786885245902,0.6060606060606061,0.9782608695652174,0.7484407484407485,0.8712487899322363,4,180,117,4
0,KNN,all,all,high,0.5015271289974848,0.44541275396780333,0.5576415040271662,0.6,0.6040268456375839,0.9782608695652174,0.7468879668049793,0.8704061895551258,3,180,118,4
