,Group,C,degree,gamma,kernel,probability,shrinking,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,0.1,2,scale,sigmoid,True,True,0.7086614173228346,0.7071428571428572,0.75,0.7069672131147541,0.7279411764705882,0.7410179640718563
0,selected_features,0.1,2,scale,sigmoid,True,True,0.6894977168949772,0.6833333333333333,0.7321428571428571,0.6885013351134845,0.706896551724138,0.721830985915493
0,selected_features,0.1,2,scale,sigmoid,True,True,0.6622950819672131,0.7547169811320755,0.6521739130434783,0.6649299317283507,0.6997084548104957,0.6703910614525139
