,Group,gamma,max_depth,max_leaves,min_child_weight,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,0,6,5,8,100,1234,0.9977064220183486,0.9957264957264957,1.0,0.9975369458128079,0.9978586723768736,0.9991423670668954
0,all_features,0,6,5,8,100,1234,1.0,1.0,1.0,1.0,1.0,1.0
0,all_features,0,6,5,8,100,1234,0.3939393939393939,0.8787878787878788,0.2,0.5622641509433962,0.3258426966292135,0.2365415986949429
