,Group,class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,all_features,balanced_subsample,8,sqrt,2,2,35,1234,0.9770642201834863,0.9955555555555555,0.9613733905579399,0.9782236410917777,0.9781659388646288,0.9680207433016423
0,all_features,balanced_subsample,8,sqrt,2,2,35,1234,1.0,1.0,1.0,1.0,1.0,1.0
0,all_features,balanced_subsample,8,sqrt,2,2,35,1234,0.7575757575757576,0.9801980198019802,0.6827586206896552,0.8225113858165257,0.8048780487804879,0.7268722466960352
