,Group,gamma,max_depth,min_child_weight,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,0.0,2,6,5,1234,0.7800687285223368,0.816,0.7132867132867133,0.778940653940654,0.7611940298507462,0.7317073170731708
0,selected_features,0.0,2,6,5,1234,0.7386363636363636,0.6857142857142857,0.6666666666666666,0.7275641025641024,0.676056338028169,0.6703910614525139
0,selected_features,0.0,2,6,5,1234,0.6074766355140186,0.4745762711864407,0.717948717948718,0.6310331825037708,0.5714285714285715,0.6511627906976744
