,Group,class_weight,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,random_state,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,balanced_subsample,2,sqrt,2,2,24,1234,0.7800687285223368,0.8211382113821138,0.7062937062937062,0.7788225288225288,0.7593984962406015,0.7266187050359711
0,selected_features,balanced_subsample,2,sqrt,2,2,24,1234,0.7840909090909091,0.717948717948718,0.7777777777777778,0.7831196581196581,0.7466666666666666,0.7650273224043717
0,selected_features,balanced_subsample,2,sqrt,2,2,24,1234,0.7570093457943925,0.6382978723404256,0.7692307692307693,0.7596153846153846,0.6976744186046512,0.7389162561576356
