,Group,leaf_size,metric,n_neighbors,p,accuracy,precision,recall,roc_auc,f1,f2
0,selected_features,5,minkowski,19,1,0.697594501718213,0.7007299270072993,0.6713286713286714,0.6971508221508221,0.6857142857142858,0.6770098730606489
0,selected_features,5,minkowski,19,1,0.514018691588785,0.37735849056603776,0.5128205128205128,0.513763197586727,0.43478260869565216,0.47846889952153104
